contract_name,contract_type,overall_risk_score,risk_tier,risky_clause_count,red_flag_count,top_recommendation
01_saas_standard.pdf,Software as a Service (SaaS) Agreement,28,Low,1,6,"Before signing, request a detailed Service Level Agreement (SLA) with uptime guarantees and negotiate higher liability caps specifically for data breaches and security incidents, as the current cap of 12 months fees may be inadequate if critical business data is compromised."
02_vendor_risky.pdf,Master Vendor Services Agreement,92,High,7,6,"Do not sign this agreement in its current form - it requires a complete rewrite to rebalance the terms, or seek an alternative vendor with reasonable contract terms"
03_nda_moderate.pdf,Mutual Non-Disclosure Agreement,45,Medium,2,3,"Negotiate to remove or significantly narrow the non-solicitation clause (Section 4), as it extends beyond the normal scope of an NDA and could meaningfully restrict your hiring options for 2 years even if no business relationship develops."
04_consulting_clean.pdf,Professional Consulting Agreement,25,Low,0,0,"This is a clean, balanced consulting agreement with minimal risk. Proceed with ensuring that each Statement of Work clearly defines scope, deliverables, fees, and what constitutes customer-owned work product versus consultant's pre-existing materials."
05_license_moderate.pdf,Software License Agreement,58,Medium,4,5,"Negotiate a 30-day cure period for termination, increase the audit threshold to 10%, and add a 90-day renewal reminder obligation on the vendor to avoid automatic lock-in."
06_employment_moderate.pdf,Employment Agreement,72,High,4,5,"Do not sign this agreement without significant modifications to the non-compete clause. Negotiate to narrow the geographic scope, reduce the duration to 6-12 months maximum, and limit it to direct competitor roles only. Also revise the IP assignment to exclude personal projects. Consider having an employment attorney review before signing."
07_commercial_lease_risky.pdf,Commercial Lease Agreement,82,High,8,8,"Do not sign this lease without substantial revisions. Engage a commercial real estate attorney immediately to negotiate: (1) elimination or substantial limitation of the personal guarantee, (2) reduction of rent escalation to 2-3% annually, (3) shifting structural and major system repairs back to landlord, (4) adding cure periods and notice requirements for defaults, and (5) reducing auto-renewal notice to 6 months. These terms expose you to potentially ruinous financial liability."
08_influencer_moderate.pdf,Influencer Collaboration Agreement,58,Medium,4,4,"Negotiate the content rights clause to either limit the license duration to 1-2 years, exclude paid advertising without additional fees, or significantly increase compensation to reflect the perpetual worldwide usage rights being granted"
09_freelance_webdev_clean.pdf,Freelance Web Development Agreement,25,Low,0,3,"Add a confidentiality clause to protect any proprietary business information, strategies, or data shared during the project, and clarify what 'reusable libraries' means in the IP clause to avoid future disputes."
10_loan_risky.pdf,Business Loan Agreement,92,High,8,7,"DO NOT SIGN this agreement under any circumstances. This is a predatory loan with unconscionable terms. Consult with a business attorney and seek financing from a reputable bank or credit union with standard commercial loan terms. If you have already signed, contact an attorney immediately to discuss your options."
11_partnership_moderate.pdf,General Partnership Agreement,68,High,3,6,Do not sign this agreement without first restructuring as an LLC or LLP to protect personal assets from business liabilities. The unlimited personal liability exposure in a general partnership is extremely risky and unnecessary given that limited liability alternatives are readily available and inexpensive to establish.
12_distribution_risky.pdf,Exclusive Distribution Agreement,92,High,6,7,"DO NOT SIGN this agreement as written. The indemnification clause requiring you to cover the Manufacturer's defects, combined with unlimited purchase obligations and one-sided termination rights, creates unacceptable risk. Demand comprehensive revisions or walk away—this deal could bankrupt your company."
13_msa_moderate.pdf,Master Services Agreement (MSA) for IT Services,52,Medium,3,4,"Negotiate to reduce the late payment interest rate to 1% monthly and set a calendar reminder system to track the 60-day auto-renewal notice deadline, then review liability caps for each SOW based on project criticality"
14_sow_clean.pdf,Statement of Work (SOW) - IT Services,35,Medium,6,5,"Do not sign this contract without adding comprehensive data protection, confidentiality, and security provisions - email migrations involve highly sensitive data and the contract currently has no safeguards for data privacy, security breaches, or regulatory compliance."
15_reseller_moderate.pdf,Reseller Agreement,52,Medium,4,5,"Negotiate the payment terms as top priority - request either pay-when-paid terms or extend payment window to 60-90 days to align with typical customer payment cycles and protect your cash flow, as this presents the most immediate financial risk to your business."
16_maintenance_clean.pdf,Software Support and Maintenance Agreement,25,Low,0,3,"Evaluate whether the $12,000 liability cap is adequate for your business risk exposure; if this software is mission-critical, negotiate a higher cap or carve-out for gross negligence and willful misconduct."
17_photography_moderate.pdf,Photography Services Agreement,52,Medium,5,5,"Before signing, negotiate three critical changes: (1) extend the cancellation window to at least 14-30 days, (2) clarify and potentially broaden the usage license to cover all anticipated business needs, and (3) establish a clear process for obtaining model releases with photographer cooperation or include language that photography constitutes consent."
18_equipment_rental_moderate.pdf,Equipment Rental Agreement,62,Medium,4,5,"Before signing, obtain comprehensive equipment insurance coverage and negotiate to add exceptions to the limitation of liability clause so you receive rental credits if equipment fails due to owner's poor maintenance or pre-existing defects"
19_franchise_risky.pdf,Franchise Agreement,87,High,8,8,"Do not sign this agreement as written. Consult a franchise attorney immediately to negotiate major revisions, particularly eliminating the personal guarantee, adding cure periods to termination clauses, reducing the non-compete, and establishing mutual termination rights. If franchisor refuses to negotiate these fundamental terms, walk away - this deal is structured for franchisee failure and franchisor profit regardless of your business performance."
20_contractor_moderate.pdf,Independent Contractor Agreement,58,Medium,2,3,Do not sign without negotiating the IP Assignment clause to exclude your pre-existing materials and the Indemnification clause to remove misclassification liability. These two provisions create significant long-term risk to your business assets and financial security.
21_dpa_moderate.pdf,Data Processing Agreement (DPA),52,Medium,1,5,"Negotiate to carve out data breaches and GDPR violations from the liability cap in the main agreement, or establish a separate minimum liability cap of at least €5-10 million for data protection failures before signing."
22_sponsorship_clean.pdf,Event Sponsorship Agreement,25,Low,0,5,"Add specific event details (date, location, year) and define what happens if the organizer fails to deliver the promised sponsorship benefits before accepting this agreement"
23_consulting_retainer_clean.pdf,Consulting Retainer Agreement,25,Low,1,4,"Negotiate to increase or remove the liability cap in Section 6, and consider adding mutual indemnification protection for third-party claims"
24_supply_risky.pdf,Manufacturing and Supply Agreement,92,High,7,6,"Do not sign this agreement under any circumstances. The indemnification clause alone could bankrupt your company if defective products cause harm. Engage legal counsel to completely restructure this contract with balanced risk allocation, meaningful warranties, mutual termination rights, and standard supplier liability provisions before proceeding."
25_marketing_moderate.pdf,Marketing Services Agreement,52,Medium,4,4,"Before signing, negotiate for: (1) termination for convenience with 30-60 days notice, (2) liability cap that includes ad spend or is set at a reasonable minimum threshold, and (3) performance metrics with review triggers that allow early exit if targets are consistently missed."
